2023-12-24 20:28:28.300 ,9128283L2,100-072,0-003,
2023-12-24 20:29:20.300 ,912828M80,99-270,0-002,
2023-12-24 20:35:17.300 ,9128283J7,100-062,0-002,
2023-12-24 20:36:00.320 ,9128283H1,99-001,0-002,
2023-12-24 20:40:36.300 ,9128283J7,99-080,0-00+,
2023-12-24 20:48:57.566 ,9128283H1,99-001,0-002,
2023-12-24 20:51:00.521 ,9128283H1,99-001,0-002,
2023-12-24 21:05:07.995 ,9128283H1,99-001,0-002,
2023-12-24 21:06:10.686 ,9128283H1,99-001,0-002,
2023-12-24 21:06:10.986 ,9128283J7,99-166,0-003,
2023-12-24 21:06:11.286 ,912810RZ3,99-181,0-002,
2023-12-24 21:06:40.870 ,9128283H1,99-001,0-002,
2023-12-24 21:06:41.189 ,9128283F5,99-042,0-00+,
2023-12-24 21:06:41.489 ,912810RZ3,100-09+,0-002,
2023-12-24 21:07:25.712 ,9128283H1,99-001,0-002,
2023-12-24 21:07:26.012 ,9128283F5,100-041,0-002,
2023-12-24 21:07:26.312 ,912810RZ3,99-007,0-002,
2023-12-24 21:08:09.322 ,9128283H1,99-001,0-002,
2023-12-24 21:08:09.622 ,9128283J7,99-291,0-003,
2023-12-24 21:08:09.922 ,912810RZ3,100-00+,0-003,
